,caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
0,How do you respond to allegations that you're bipolar?,162,52,0.06715119276406753,1,1.9074074074074074,43,385,67,655
1,The poles show you’re in trouble.,140,34,0.068157365822999,2,1.8,44,2117,62,655
2,I'm sure voters have noticed that you're completely in the dark half the time.,119,25,0.07104423354943115,3,1.773109243697479,42,4906,52,655
3,"Ask yourself, are you better off now than you were four billion years ago?",160,36,0.06283518610784523,4,1.76875,51,4425,73,655
4,I guarantee in twelve hours we'll see a completely different side of my opponent.,145,34,0.06729293632051245,5,1.7586206896551724,42,1941,69,655
5,"Oh, sure. But in 12 hours, you'll take the opposite position.",148,30,0.06434684676640524,6,1.7162162162162162,46,5120,72,655
6,"My opponent, on the other hand, tends to be all over the map.",137,27,0.06663487430112582,7,1.7007299270072993,42,4891,68,655
7,That wasn’t your position this morning.,125,26,0.07114183923910446,8,1.696,35,5113,64,655
8,I guarantee in twelve hours my opponent will be on the other side of the issue.,142,30,0.06718143478266542,9,1.6901408450704225,38,2732,74,655
9,"Ask yourself, are you better off than you were 4.54 billion years ago?",161,30,0.060559006211180114,10,1.68944099378882,51,4873,80,655
10,Spin. Spin. Spin. That's all we ever get from you.,135,25,0.06621058908015184,11,1.6814814814814816,42,1740,68,655
11,"There you go again; constantly changing your position""",128,23,0.06740916327952214,12,1.6796875,41,4439,64,655
12,"Wait, if you're here, then where are we?",155,33,0.06468348632778198,13,1.6774193548387097,39,18,83,655
13,"Everything doesn’t revolve around you, you know!",136,23,0.06423875751793785,14,1.6764705882352942,46,3534,67,655
14,Spin and more spin!  That's all we get from you.,136,28,0.06861577865256212,15,1.661764705882353,34,3375,74,655
15,And yet just a few hours ago you held a totally different position!,127,22,0.06728293380174864,16,1.6614173228346456,40,3672,65,655
16,"And finally, can you really trust my opponent whose position changes EVERY SINGLE DAY?",156,31,0.0633349406908009,17,1.6602564102564104,41,4856,84,655
17,"No offense, but half the time , you’re in the dark!",161,30,0.061212432746667766,18,1.6521739130434783,45,4710,86,655
