,target_id,mean,precision,count,score,caption,contest
0,5450,1.8206106870229009,0.018043133570455405,2096,1.8206106870229009,Trust me. One day your portrait will be used as the symbol of a political party even more primitive than we are.,604
1,1318,1.7951375049820646,0.01564750287580633,2509,1.7951375049820646,I know what you're thinking -- don't quit hunting and gathering.,604
2,6497,1.787037037037037,0.014488077344743715,3024,1.787037037037037,"Well, if you want a record of your existence, it’s either this or the tar pits.",604
3,3172,1.7853751187084521,0.013975507351848906,3159,1.7853751187084521,You should have seen my parents when I told them I didn't want to be a hunter OR a gatherer.,604
4,3235,1.7851093860268172,0.014865164086785971,2834,1.7851093860268172,"I'm calling it ""The Elephant in the Room""",604
5,1935,1.7663273960983885,0.015781744533430116,2358,1.7663273960983885,It's SUPPOSED to be primitive!,604
6,4156,1.763326226012793,0.019909955323838862,1407,1.763326226012793,"Don't worry, it's just a cave painting. No one will ever see it.",604
7,1629,1.757068062827225,0.014657753201786325,2865,1.757068062827225,The drawing is the easy part. It's coming up with a caption that's tough.,604
8,3384,1.7553260167850226,0.019823309576731618,1549,1.7553260167850226,It will be worth more when you're extinct.,604
9,8657,1.7542153047989624,0.013966652478682033,3084,1.7542153047989624,How do you know it doesn't look like you?,604
10,4903,1.7420941672522838,0.02144226191140866,1423,1.7420941672522838,"One day you’ll be the symbol of a major political party. So, turn your head, lose all of your perspective, and don’t move one step forward.",604
11,3028,1.73921698739217,0.01953971602915759,1507,1.73921698739217,"As best as I can remember, this is what she looks like. Do you want me to arrange a date or not?",604
12,5737,1.7342228633249188,0.014638324463158978,2773,1.7342228633249188,Don't worry - no one will see this in a million years.,604
13,762,1.731407942238267,0.0209845586320799,1385,1.731407942238267,Your nose IS big.,604
14,4826,1.720852764823451,0.019223631134275512,1501,1.720852764823451,"Laugh now, but in a few thousand years people will go nuts for this stuff.",604
15,3601,1.706085753803596,0.020265039325554762,1446,1.706085753803596,"Excuse me, you ARE the elephant in the room.",604
16,4405,1.7035245335176226,0.02016500795311726,1447,1.7035245335176226,"What do you mean ""what is it""?",604
17,8086,1.6954945624029,0.01689627548604416,1931,1.6954945624029,I AM making your nose look smaller.,604
18,8444,1.6865030674846626,0.01840854189872622,1630,1.6865030674846626,Fire is easy. Art is hard.,604
19,2300,1.6863636363636363,0.02373084129655155,1100,1.6863636363636363,Stand still...you keep on moving too far to the right.,604
20,575,1.671264367816092,0.02571624179104235,870,1.671264367816092,Of course it’s a nude.,604
21,1304,1.6683029453015428,0.020501659684413875,1426,1.6683029453015428,"You're so vain, you probably think this wall is about you.",604
22,2359,1.6617161716171618,0.029619587357318868,606,1.6617161716171618,Don't worry. I'll make your tusks longer.,604
23,5705,1.6572199730094468,0.015995495394702457,2223,1.6572199730094468,Primitive? Compared to what?,604
24,1448,1.6501200960768614,0.021373849048060237,1249,1.6501200960768614,"No, you will not be extinct before I am done!",604
25,2714,1.6458333333333333,0.018498989117867508,1728,1.6458333333333333,"OK, I'm done, you can put your clothes back on.",604
26,6920,1.638752052545156,0.020892975288224674,1218,1.638752052545156,"What do you want from me, it's the Ice Age not the Renaissance.",604
27,7306,1.6386806596701649,0.019696201594629967,1334,1.6386806596701649,What did you think you looked like?,604
28,2880,1.6374146085128745,0.017280298817829026,1903,1.6374146085128745,I think I'll call it 'The elephant in the room',604
29,4055,1.6355661881977672,0.02121899068453503,1254,1.6355661881977672,Oh don't be such a prima-mastadonna,604
30,3854,1.6254789272030652,0.022689217816926677,1044,1.6254789272030652,"Don't worry, the cave wall always adds ten pounds.",604
