,rank,caption,score,precision,count,unfunny,somewhat_funny,funny
0,1,Poor guy. Thought he signed up for pilates.,1.8341463414634147,0.061923761693786425,205.0,100.0,39.0,66.0
1,2,We may regret this. He looked delicious.,1.809523809523809,0.059346239698510515,189.0,84.0,57.0,48.0
2,3,I can't believe my eye!,1.7840909090909092,0.0602471787735915,176.0,79.0,56.0,41.0
3,4,"Now, that's what I call execution.",1.704225352112676,0.06763018566603286,142.0,73.0,38.0,31.0
4,5,He's taking it better than I expected.,1.6507936507936507,0.07330515503426847,126.0,72.0,26.0,28.0
5,6,That's going overboard.,1.6507936507936507,0.06790980041712225,126.0,66.0,38.0,22.0
6,7,Now that's what I call a perfect execution.,1.6507936507936507,0.07243384310951621,126.0,71.0,28.0,27.0
7,8,Beautiful execution.,1.639344262295082,0.07549284734374928,122.0,72.0,22.0,28.0
8,9,Nice execution!,1.639344262295082,0.06990187421495422,122.0,66.0,34.0,22.0
9,10,"Maybe it's just the pirate in me, but I prefer a cannonball.",1.6363636363636365,0.0713892059963015,121.0,67.0,31.0,23.0
10,11,Come back...they read the wrong envelope.,1.6333333333333333,0.07571631165480071,120.0,71.0,22.0,27.0
11,12,His execution was perfect!,1.6140350877192982,0.07631146182990924,114.0,68.0,22.0,24.0
12,13,Sort of takes the fun out of it.,1.588785046728972,0.07506333190155147,107.0,63.0,25.0,19.0
13,14,I like to call this the elimination round.,1.5769230769230769,0.07319180467207571,104.0,60.0,28.0,16.0
14,15,"I said prepare to die, not prepare to dive!",1.5714285714285714,0.07142857142857144,105.0,60.0,30.0,15.0
15,16,Reminds me why we threw him off the ship in the first place,1.5673076923076923,0.069356940459237,104.0,58.0,33.0,13.0
16,17,Nobody walks anymore.,1.5643564356435644,0.07094251135712022,101.0,57.0,31.0,13.0
17,18,I hope he knows we've run aground.,1.5643564356435644,0.07094251135712022,101.0,57.0,31.0,13.0
18,19,Who the hell's Geronimo?,1.5643564356435644,0.0736809305154022,101.0,59.0,27.0,15.0
19,20,I think he went a little overboard.,1.5643564356435644,0.07094251135712022,101.0,57.0,31.0,13.0
20,21,His private diving lessons cost me an arm and a leg.,1.56,0.07826399252052328,100.0,62.0,20.0,18.0
21,22,Perfectly executed,1.56,0.07429126408395484,100.0,59.0,26.0,15.0
22,23,"I said cannonball, not swan dive, you idiot.",1.5555555555555556,0.08641157241893141,99.0,68.0,7.0,24.0
23,24,That is not what I meant by execution.,1.5555555555555556,0.07491109582924911,99.0,59.0,25.0,15.0
24,25,His execution is flawless!,1.5555555555555556,0.07627460482772011,99.0,60.0,23.0,16.0
25,26,Ten for execution.,1.5510204081632653,0.07692059972342828,98.0,60.0,22.0,16.0
26,27,I don't seem to be generating the same kind of terror among the men that I used to.,1.5510204081632653,0.07692059972342828,98.0,60.0,22.0,16.0
27,28,Perfect execution.,1.5463917525773196,0.08029774189380015,97.0,62.0,17.0,18.0
28,29,Who in the heck is Geronimo?,1.5463917525773196,0.07618003318676181,97.0,59.0,23.0,15.0
29,30,He's just ok. You should have seen me when I had both legs.,1.5416666666666667,0.07538885549047512,96.0,58.0,24.0,14.0
30,31,Let's just shoot the next one.,1.5416666666666667,0.07392010069358472,96.0,57.0,26.0,13.0
31,32,Beautifully executed.,1.5360824742268042,0.07900511052636601,97.0,62.0,18.0,17.0
32,33,Outstanding execution.,1.5319148936170213,0.07668212420079179,94.0,58.0,22.0,14.0
33,34,These guys from Penzance are always such drama queens.,1.5319148936170213,0.07960973163348813,94.0,60.0,18.0,16.0
34,35,"Add ""insubordination"" to the list.",1.5319148936170213,0.06882038342613186,94.0,53.0,32.0,9.0
35,36,"You know, that's exactly the kind of attitude that made this necessary in the first place.",1.5268817204301075,0.07426025688457116,93.0,56.0,25.0,12.0
36,37,He's gone a little overboard.,1.5268817204301075,0.07734399740093392,93.0,58.0,21.0,14.0
37,38,You can always tell the ones from Penzance.,1.5217391304347827,0.07489164153433231,92.0,56.0,24.0,12.0
38,39,"Good Riddance, Mankoff, you fancy bastard.",1.5164835164835164,0.07869918829008521,91.0,58.0,19.0,14.0
39,40,"Technically, he's flawless, but I'm still deducting 2 points for mutiny.",1.5164835164835164,0.07553252113571872,91.0,56.0,23.0,12.0
40,41,He's taking all the fun out of this for me.,1.5164835164835164,0.07389831868802937,91.0,55.0,25.0,11.0
41,42,See? A real pirate would have cannonballed.,1.5111111111111108,0.07780452545247611,90.0,57.0,20.0,13.0
42,43,It's all in the execution.,1.5111111111111108,0.07283186466425955,90.0,54.0,26.0,10.0
43,44,"Yeah, the sharks score them all the same.. ""ate""",1.5056179775280898,0.07684335894863778,89.0,56.0,21.0,12.0
44,45,This is the sort of unapologetic enthusiasm that is killing piracy as we know it,1.5056179775280898,0.07516341663067222,89.0,55.0,23.0,11.0
45,46,We're gonna kick Blackbeard's butt at Regionals.,1.5056179775280898,0.08167612661756628,89.0,59.0,15.0,15.0
46,47,"Now, that's what I call execution.",1.5056179775280898,0.08167612661756628,89.0,59.0,15.0,15.0
47,48,He deserves a ten but he'll get ate.,1.5054945054945057,0.07714950105143308,91.0,58.0,20.0,13.0
48,49,"Now, that's a perfect execution.",1.5,0.07751360820291699,88.0,56.0,20.0,12.0
49,50,Now THAT'S overboard!,1.5,0.08081352297940449,88.0,58.0,16.0,14.0
50,51,Great execution.,1.5,0.07406681724583486,88.0,54.0,24.0,10.0
51,52,I'll be even more annoyed if he can swim.,1.4943820224719102,0.07516341663067219,89.0,56.0,22.0,11.0
52,53,Does anyone else think he is going a little overboard?,1.4943820224719102,0.07684335894863775,89.0,57.0,20.0,12.0
53,54,"He may be a thief, a liar and a murderer, but he's a graceful sonofabitch.",1.4942528735632183,0.07469722045893351,87.0,54.0,23.0,10.0
54,55,Brilliant execution!,1.4942528735632183,0.07819393299364334,87.0,56.0,19.0,12.0
55,56,Sort of takes the fun out of it.,1.4942528735632183,0.07819393299364334,87.0,56.0,19.0,12.0
56,57,That's going a bit overboard.,1.4886363636363635,0.0775040333022316,88.0,57.0,19.0,12.0
57,58,I blame Johnny Depp.,1.4886363636363635,0.07917138496936335,88.0,58.0,17.0,13.0
58,59,In case any of you forgot why we're killing him - take a good look.,1.4883720930232558,0.07713080907803256,86.0,55.0,20.0,11.0
59,60,"If he adds a twist and nails the entry, I say we fish him out again.",1.4883720930232558,0.08059998344582292,86.0,57.0,16.0,13.0
60,61,"He doesn't know we're run aground, does he?",1.4883720930232558,0.07888446944899496,86.0,56.0,18.0,12.0
61,62,Best execution ever!,1.4883720930232558,0.0734980685909289,86.0,53.0,24.0,9.0
62,63,See? That's what I hated about him.,1.4883720930232558,0.07713080907803256,86.0,55.0,20.0,11.0
63,64,It happens whenever the mermaid is watching.,1.4883720930232558,0.06967618290464732,86.0,51.0,28.0,7.0
64,65,"And there goes Roger, jolly to the end.",1.4883720930232558,0.08059998344582292,86.0,57.0,16.0,13.0
65,66,"Truth be told, boys, I don't think he ever really self-identified as a pirate.",1.4823529411764709,0.0759842323055954,85.0,54.0,21.0,10.0
66,67,He's from Penzance.,1.4823529411764709,0.0759842323055954,85.0,54.0,21.0,10.0
67,68,I think Long John just earned the silver.,1.4761904761904765,0.07849010899859389,84.0,55.0,18.0,11.0
68,69,"Well, that's a perfect execution!",1.4761904761904765,0.08029669322740518,84.0,56.0,16.0,12.0
69,70,Sometimes you don't really get to know someone until it's too late.,1.4761904761904765,0.07664095170316118,84.0,54.0,20.0,10.0
70,71,Perfect execution.,1.4761904761904765,0.08206351610734748,84.0,57.0,14.0,13.0
71,72,"Nice dive. Now lets see if he can swim 2,000 miles.",1.4761904761904765,0.08029669322740518,84.0,56.0,16.0,12.0
72,73,Ten for execution.,1.4698795180722892,0.07730653365803622,83.0,54.0,19.0,10.0
73,74,Talk about a man going overboard.,1.4698795180722892,0.07538197255279765,83.0,53.0,21.0,9.0
74,75,...anyone tell him we're beached on a sand bar?,1.4698795180722892,0.07730653365803622,83.0,54.0,19.0,10.0
75,76,He thinks he's being clever--but he doesn't realize we ran aground last night.,1.4698795180722892,0.07137734280155039,83.0,51.0,25.0,7.0
76,77,"Aye, he puts the jolly in Roger.",1.4642857142857142,0.07468892952609921,84.0,54.0,21.0,9.0
77,78,You gotta hand it to him. He lives in the moment.,1.4642857142857142,0.0727432090377497,84.0,53.0,23.0,8.0
78,79,Oh now he shows some enthusiasm for the job.,1.4642857142857142,0.0765852330831439,84.0,55.0,19.0,10.0
79,80,I don't think this is his first time.,1.4634146341463414,0.07798100037906862,82.0,54.0,18.0,10.0
80,81,"'That, me hearties, is panache.""",1.4634146341463414,0.07798100037906862,82.0,54.0,18.0,10.0
81,82,This be the last time we kidnap someone from Cirque du Soleil.,1.4634146341463414,0.08175123647153583,82.0,56.0,14.0,12.0
82,83,Superb execution.,1.4634146341463414,0.07602580021195415,82.0,53.0,20.0,9.0
83,84,This isn't his first gangplank,1.4634146341463414,0.07401897172762963,82.0,52.0,22.0,8.0
84,85,"On the other hand, I'll miss his sense of humor.",1.4567901234567902,0.07463777284045353,81.0,52.0,21.0,8.0
85,86,"I told him if it's 9.5 or better, we'd swing around and pick him up.",1.4567901234567902,0.07463777284045353,81.0,52.0,21.0,8.0
86,87,"When he said he was going for gold, I thought he meant ours.",1.4567901234567902,0.07254071380455597,81.0,51.0,23.0,7.0
87,88,Now that's what I call a perfect execution.,1.4567901234567902,0.08249463640636105,81.0,56.0,13.0,12.0
88,89,He is part of our catch and release program.,1.4567901234567902,0.07667750067582918,81.0,53.0,19.0,9.0
89,90,Great execution.,1.45,0.07313071356019156,80.0,51.0,22.0,7.0
90,91,Flawless execution.,1.45,0.07313071356019156,80.0,51.0,22.0,7.0
91,92,He gets a 10 on his execution.,1.45,0.07733700704208724,80.0,53.0,18.0,9.0
92,93,This is the last time we take over a ship from Cirque du Soleil.,1.45,0.08132603550298584,80.0,55.0,14.0,11.0
93,94,"Swan song, ye scalliwag- not swan dive!",1.45,0.07935658986139954,80.0,54.0,16.0,10.0
94,95,Come to think of it. Do either of you know how to steer a ship?,1.45,0.07526325107265376,80.0,52.0,20.0,8.0
95,96,I was expecting a cannonball.,1.45,0.07313071356019156,80.0,51.0,22.0,7.0
96,97,Jolly Roger...to the end.,1.4430379746835442,0.08005766228274379,79.0,54.0,15.0,10.0
97,98,This isn't working. Somebody shoot him.,1.4430379746835442,0.08205972967906346,79.0,55.0,13.0,11.0
98,99,Well executed!,1.4430379746835442,0.07800422645828076,79.0,53.0,17.0,9.0
99,100,Flamboyancy ain't buoyancy.,1.4430379746835442,0.08205972967906346,79.0,55.0,13.0,11.0
100,101,That's what I call going out in style.,1.4430379746835442,0.07589525281947243,79.0,52.0,19.0,8.0
101,102,His attitude is really ruining it for me.,1.4430379746835442,0.06918366545697266,79.0,49.0,25.0,5.0
102,103,This really undermines our credibility.,1.4430379746835442,0.07589525281947243,79.0,52.0,19.0,8.0
103,104,He still doesn't get it.,1.4430379746835442,0.07589525281947243,79.0,52.0,19.0,8.0
104,105,I'll give him a 10 for execution.,1.4358974358974361,0.08280333007661038,78.0,55.0,12.0,11.0
105,106,I try not to judge,1.4358974358974361,0.07432624125956294,78.0,51.0,20.0,7.0
106,107,I hate it when they do that.,1.4358974358974361,0.07653359048662939,78.0,52.0,18.0,8.0
107,108,I'm thinking he may have lied about not being able to swim.,1.4358974358974361,0.07432624125956294,78.0,51.0,20.0,7.0
108,109,He takes all the fun out of torture.,1.4358974358974361,0.07653359048662939,78.0,52.0,18.0,8.0
109,110,I pity the guy that has to follow that.,1.4358974358974361,0.07432624125956294,78.0,51.0,20.0,7.0
110,111,"He can dive, but can he swim...",1.4285714285714286,0.07936128190201037,77.0,53.0,15.0,9.0
