caption,unfunny,somewhat_funny,funny,count,contest
"I can't believe my eye!
",280.0,99.0,77.0,456.0,559
"Good Riddance, Mankoff, you fancy bastard.
",317.0,70.0,100.0,487.0,559
"Let's just shoot the next one.
",303.0,88.0,60.0,451.0,559
"He is part of our catch and release program.
",287.0,108.0,43.0,438.0,559
"Perfect execution.
",328.0,87.0,62.0,477.0,559
"I think Long John just earned the silver.
",298.0,117.0,41.0,456.0,559
"I'll be even more annoyed if he can swim.
",292.0,91.0,48.0,431.0,559
"At least his execution is flawless.
",334.0,73.0,62.0,469.0,559
"I think we just shoot them from now on
",301.0,100.0,40.0,441.0,559
"O.K., that's it! We're going back to cruel and unusual!
",320.0,101.0,44.0,465.0,559
"I said prepare to die, not prepare to dive!
",330.0,93.0,49.0,472.0,559
"Beautiful execution.
",310.0,74.0,47.0,431.0,559
"Very bad dive. Very bad. If I walked the plank it would be much better. It would be the best plank walk. He's a loser at dying. Sad. Very sad.
",331.0,63.0,55.0,449.0,559
"If he adds a twist and nails the entry, I say we fish him out again.
",325.0,92.0,41.0,458.0,559
"And that, me boys, is grace under pressure.
",309.0,94.0,36.0,439.0,559
"I'm going to miss his optimism.
",319.0,98.0,36.0,453.0,559
"Talk about a perfect execution.
",332.0,81.0,45.0,458.0,559
"Nice dive. Now lets see if he can swim 2,000 miles.
",339.0,86.0,44.0,469.0,559
"Another flawless execution!
",339.0,89.0,42.0,470.0,559
"I like to call this the elimination round.
",322.0,86.0,39.0,447.0,559
"Technically, he's flawless, but I'm still deducting 2 points for mutiny.
",336.0,88.0,41.0,465.0,559
"Great execution.
",336.0,90.0,40.0,466.0,559
"Superb execution.
",341.0,92.0,39.0,472.0,559
"You know, that's exactly the kind of attitude that made this necessary in the first place.
",321.0,83.0,38.0,442.0,559
"Outstanding execution.
",332.0,88.0,38.0,458.0,559
"He's taking it better than I expected.
",344.0,94.0,38.0,476.0,559
"Nobody walks anymore.
",314.0,81.0,36.0,431.0,559
"""Who told him to take a flying leap""?
",337.0,91.0,37.0,465.0,559
"Sometimes you don't really get to know someone until it's too late.
",318.0,93.0,32.0,443.0,559
"They don't call him Jolly Roger for nothing.
",322.0,90.0,34.0,446.0,559
"I guess when we go low, he goes high.
",334.0,75.0,42.0,451.0,559
"That's going overboard.
",350.0,83.0,42.0,475.0,559
"Brilliant execution!
",322.0,75.0,39.0,436.0,559
"It's about the journey, not the destination.
",335.0,82.0,39.0,456.0,559
"'That, me hearties, is panache.""
",316.0,81.0,35.0,432.0,559
"Nice execution!
",339.0,70.0,43.0,452.0,559
