target_id,rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
7384,1,3,1,1,5,2.4,0.39999999999999997,509,It's true what they say--you can't go home again.
7765,1,3,1,1,5,2.4,0.39999999999999997,509,Great. I'm gonna die a virgin.
7040,3,1,3,0,4,2.25,0.28867513459481287,509,Have you considered the many benefits of a vegan diet?
660,4,2,3,1,6,2.1666666666666665,0.30731814857642953,509,We're smoked.
309,4,3,1,2,6,2.1666666666666665,0.40138648595974313,509,Make yourself look big.
1916,4,1,5,0,6,2.1666666666666665,0.18257418583505536,509,This is the last time I follow my instincts.
137,7,2,2,2,6,2.0,0.3651483716701107,509,I think we should adopt.
1953,7,1,4,1,6,2.0,0.2581988897471611,509,As if this swimming upstream thing wasn't hard enough.
174,7,1,4,1,6,2.0,0.2581988897471611,509,Can't a couple have a little privacy?
274,7,2,1,2,5,2.0,0.4472135954999579,509,"Damn, I'm still a virgin."
7855,7,1,3,1,5,2.0,0.31622776601683794,509,Please! I have a wife and two thousand kids!
221,7,1,4,1,6,2.0,0.2581988897471611,509,We should have gotten a room.
3404,7,2,2,2,6,2.0,0.3651483716701107,509,"I thought it was spawn, then die."
4133,7,3,0,3,6,2.0,0.4472135954999579,509,Apparently I misunderstood when the directions said 'Bear right at falls.'
5102,7,2,2,2,6,2.0,0.3651483716701107,509,Salmon lives matter
496,7,2,2,2,6,2.0,0.3651483716701107,509,"You wouldn't eat a talking fish, would you?"
6704,7,1,2,1,4,2.0,0.408248290463863,509,You're in my way!
7513,7,2,1,2,5,2.0,0.4472135954999579,509,Two for dinner?
6105,7,1,4,1,6,2.0,0.2581988897471611,509,Come on! We're on our honeymoon.
39,7,1,4,1,6,2.0,0.2581988897471611,509,Instinct is overrated.
7693,7,2,1,2,5,2.0,0.4472135954999579,509,Sometimes I wonder if it's worth the effort.
552,7,1,4,1,6,2.0,0.2581988897471611,509,Let's be the ones that got away.
7770,7,2,0,2,4,2.0,0.5773502691896257,509,I can never remember whether to play dead or make lots of noise.
