target_id,rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
3160,1,19,22,22,63,1.9523809523809523,0.10227462059426916,508,Can YOU remember what you had for dinner 3 days ago?
3911,2,14,13,22,49,1.836734693877551,0.12145286443100087,508,"Yeah, maybe I did. Like I said, I eat a lot of people."
6344,3,13,11,21,45,1.8222222222222222,0.12827089740112443,508,"So then this guy said, 'Hey, you want a piece of me?'"
2119,4,10,15,18,43,1.813953488372093,0.12116001680272737,508,Do YOU remember what you had for lunch last Thursday?
3380,5,10,14,18,42,1.8095238095238095,0.12399699913052034,508,I’m not good with faces. You got a shot of the legs?
864,6,11,10,19,40,1.8,0.1349263806863884,508,I'm in the catch and release program
6064,7,8,18,17,43,1.7906976744186047,0.11313581022733663,508,I'm not sure. What does the other leg look like?
867,8,6,19,15,40,1.775,0.11028808429953589,508,No I don't know the face. Got a picture of his legs?
5997,9,10,10,19,39,1.7692307692307692,0.1347839700097043,508,It was a feeding frenzy--who remembers faces?
3507,10,8,7,15,30,1.7666666666666666,0.1567143483321807,508,Would you wave it around a bit?
3190,11,7,15,16,38,1.763157894736842,0.12182940832000048,508,Go ahead waterboard me
4285,12,5,14,14,33,1.7272727272727273,0.12517205789286595,508,The leg looks familiar but I'm terrible with faces.
3488,13,7,9,16,32,1.71875,0.14364477214474647,508,"Sure, I remember him. He tasted like chicken."
3082,14,7,8,16,31,1.7096774193548387,0.14805947938114844,508,A little closer please.
4448,14,5,12,14,31,1.7096774193548387,0.13274236010332013,508,I eat guys like you for breakfast.
1847,16,5,11,14,30,1.7,0.13687816547538925,508,"If I'd eaten that, I'd remember."
942,17,7,8,17,32,1.6875,0.14506325094314393,508,"Last time I heard, he was in the can."
1710,18,6,7,15,28,1.6785714285714286,0.15476190476190477,508,I can't sign that.
1752,19,6,8,16,30,1.6666666666666667,0.14647845813401372,508,"That could be me, but like I said, Shark Week is all kind of a big blur."
3368,19,5,10,15,30,1.6666666666666667,0.13840913308956662,508,Can we make this quick? I gotta keep moving.
5251,19,6,8,16,30,1.6666666666666667,0.14647845813401372,508,Do you have a picture of him wearing a diving helmet?
4573,22,7,5,17,29,1.6551724137931034,0.15909118484684867,508,"I can't read that, move a little closer."
5098,23,5,8,15,28,1.6428571428571428,0.14741409223021198,508,It's not my fault! He was in my home and wearing a mask.
1099,24,3,11,13,27,1.6296296296296295,0.13234837207221575,508,Can't say that I've seen the face. Got a picture of the feet?
2346,25,4,8,14,26,1.6153846153846154,0.14756404687116062,508,"I'm not sure, they all taste like chicken."
327,25,2,12,12,26,1.6153846153846154,0.12498520622516866,508,I'm not talking until I get some water.
6601,25,4,8,14,26,1.6153846153846154,0.14756404687116062,508,You're making me wish I hadn't eaten my lawyer.
4808,25,3,10,13,26,1.6153846153846154,0.13674145257408601,508,I remember him. I found him distasteful.
6002,25,4,8,14,26,1.6153846153846154,0.14756404687116062,508,"In my effort to find locally sourced food, I made an error in judgment."
559,25,4,8,14,26,1.6153846153846154,0.14756404687116062,508,"Look, I already told you. I was trying to free the human trapped in the cage."
2598,25,2,12,12,26,1.6153846153846154,0.12498520622516866,508,Could you guys waterboard me again?
4437,25,2,12,12,26,1.6153846153846154,0.12498520622516866,508,You can't hold me. That guy was in international waters.
96,25,4,8,14,26,1.6153846153846154,0.14756404687116062,508,"Well technically officer, everything I do is in cold blood."
2281,25,3,10,13,26,1.6153846153846154,0.13674145257408601,508,It was in international waters
6684,25,4,8,14,26,1.6153846153846154,0.14756404687116062,508,Hold that just a tad closer.
4999,25,3,10,13,26,1.6153846153846154,0.13674145257408601,508,"Yeah, I was at the frenzy, but I did not bite."
3797,37,5,4,14,23,1.608695652173913,0.17489839438606788,508,I'm not talking till you water board me.
1914,38,1,13,11,25,1.6,0.11547005383792516,508,Of course it was cold-blooded ! I'm a shark!
2094,38,3,9,13,25,1.6,0.1414213562373095,508,Of course my alibi smells fishy.
1273,38,3,9,13,25,1.6,0.1414213562373095,508,It was a feeding frenzy. Things happen.
1469,38,3,9,13,25,1.6,0.1414213562373095,508,I never met a man I didn't like.
1522,38,4,7,14,25,1.6,0.15275252316519466,508,Show me the one of her feet again.
4523,38,4,7,14,25,1.6,0.15275252316519466,508,I never had nobody canned.
3386,38,5,5,15,25,1.6,0.16329931618554522,508,"Yeah, maybe it's him, who knows---can you guys identify every damn donut you ever ate?"
5802,45,4,6,14,24,1.5833333333333333,0.15830472663009768,508,I got caught up in the frenzy.
4414,45,5,4,15,24,1.5833333333333333,0.16936225931188761,508,So what's the charge? 'Ordering off the menu?'
5215,45,3,8,13,24,1.5833333333333333,0.14641447355925183,508,Just got a leg. Never saw the face.
3343,48,3,6,12,21,1.5714285714285714,0.16288220358559116,508,"If it'd been me, there wouldn't be anything left to photograph."
5061,49,4,5,14,23,1.565217391304348,0.16425766604885492,508,"I'm not sure, move it a little closer?"
1118,49,4,5,14,23,1.565217391304348,0.16425766604885492,508,"Yeah, I recognize him. Tasted like chicken."
2109,49,3,7,13,23,1.565217391304348,0.15174983257274677,508,Tell me he doesn't look just like a seal.
6237,49,4,5,14,23,1.565217391304348,0.16425766604885492,508,I made him a loan he couldn't refuse.
1355,49,3,7,13,23,1.565217391304348,0.15174983257274677,508,I've never seen that leg in my life.
2960,49,2,9,12,23,1.565217391304348,0.1381138751751474,508,"If the bite don't fit, you must acquit"
549,49,3,7,13,23,1.565217391304348,0.15174983257274677,508,"Look fellas, I'm just a link in the food chain."
4441,56,4,3,13,20,1.55,0.1846048411294272,508,"Yeah, that's him. That's the guy that jumped me."
1290,56,4,3,13,20,1.55,0.1846048411294272,508,"Closer. I'm nearsighted. Real, real nearsighted."
14,58,2,8,12,22,1.5454545454545454,0.14305378044898964,508,You got nothing on me...that's just a red herring.
1349,58,2,8,12,22,1.5454545454545454,0.14305378044898964,508,That's the guy who accused me? He doesn't have a leg to stand on!
345,58,2,8,12,22,1.5454545454545454,0.14305378044898964,508,I'll bite. Who is he?
6208,58,2,8,12,22,1.5454545454545454,0.14305378044898964,508,I'm bad with faces but I never forget a leg.
5890,58,4,4,14,22,1.5454545454545454,0.17065284280889198,508,"Yeah, I took her out for a bite but never heard from her again."
1689,58,4,4,14,22,1.5454545454545454,0.17065284280889198,508,I don't know from faces; you got any pictures of their legs?
3250,58,3,6,13,22,1.5454545454545454,0.15745916432444337,508,When my attorney gets here he is going to eat you guys alive.
946,58,2,8,12,22,1.5454545454545454,0.14305378044898964,508,They all look delicious.
5313,58,3,6,13,22,1.5454545454545454,0.15745916432444337,508,How am I supposed to remember what I had for lunch two days ago?
6578,58,4,4,14,22,1.5454545454545454,0.17065284280889198,508,We didn't swim in the same circles.
4597,58,2,8,12,22,1.5454545454545454,0.14305378044898964,508,I tell ya I don't eat surfers. I'm latex intolerant.
603,58,4,4,14,22,1.5454545454545454,0.17065284280889198,508,"Like I told you before, I only saw her legs."
1650,58,3,6,13,22,1.5454545454545454,0.15745916432444337,508,Catch and release. Are you kidding?
290,58,3,6,13,22,1.5454545454545454,0.15745916432444337,508,"Bait me all ya want, but I ain't bite'n"
293,58,3,6,13,22,1.5454545454545454,0.15745916432444337,508,I know when I'm being baited.
5231,58,3,6,13,22,1.5454545454545454,0.15745916432444337,508,That's a face. I don't know faces. I'm a leg guy.
4384,58,2,8,12,22,1.5454545454545454,0.14305378044898964,508,"That's it, a severed arm? You got nothin'."
1983,75,4,2,13,19,1.5263157894736843,0.19298245614035087,508,I can't quite make out those teeth marks. Bring it in a little closer... little bit closer...
5221,76,4,3,14,21,1.5238095238095237,0.17753668459340238,508,"Statistically speaking, it's far more likely he was struck by lightning."
2631,76,3,5,13,21,1.5238095238095237,0.1635768003554064,508,"Yes, I ate the sheriff but I did not eat the deputy!"
5857,76,2,7,12,21,1.5238095238095237,0.1483086809752137,508,Can I have that glass of water now?
6470,76,3,5,13,21,1.5238095238095237,0.1635768003554064,508,"In my defense, he was wearing an ill-fitting speedo."
2255,76,4,3,14,21,1.5238095238095237,0.17753668459340238,508,That's the one who jumped me.
4729,76,2,7,12,21,1.5238095238095237,0.1483086809752137,508,"Then he says, 'Bite me!' What was I supposed to do?"
6063,76,4,3,14,21,1.5238095238095237,0.17753668459340238,508,Those pictures of me from “Shark Week” were edited!
6031,76,2,7,12,21,1.5238095238095237,0.1483086809752137,508,"Once again ... show me feet, not faces."
6062,76,2,7,12,21,1.5238095238095237,0.1483086809752137,508,Know him?? He was delicious!
807,76,4,3,14,21,1.5238095238095237,0.17753668459340238,508,What made me do it? 450 million years of evolution made me do it.
2425,76,1,9,11,21,1.5238095238095237,0.13127665478181166,508,"Yeah, we swim in the same circles."
5207,76,2,7,12,21,1.5238095238095237,0.1483086809752137,508,"OK, so I did some time in the tank. So what?"
857,76,3,5,13,21,1.5238095238095237,0.1635768003554064,508,Don't you have bigger fish to fry?!
408,76,2,7,12,21,1.5238095238095237,0.1483086809752137,508,Since when is eating a crime?
3213,76,3,5,13,21,1.5238095238095237,0.1635768003554064,508,Dental records don't lie!
607,76,4,3,14,21,1.5238095238095237,0.17753668459340238,508,"I keep telling ya, officer, I haven't seen Katy Perry in a year."
3012,76,1,9,11,21,1.5238095238095237,0.13127665478181166,508,"Ok, now you're just fishing."
5782,76,5,1,15,21,1.5238095238095237,0.1904761904761905,508,I was nowhere near the sequels.
247,76,4,3,14,21,1.5238095238095237,0.17753668459340238,508,When's the water-boarding going to start?
5570,76,3,5,13,21,1.5238095238095237,0.1635768003554064,508,I'm not good with faces. Do you maybe have a blood sample?
1952,76,2,7,12,21,1.5238095238095237,0.1483086809752137,508,"Hey, 'In cold blood' is the only way I do ANYTHING."
