target_id,rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
4077,1,1615,1486,766,3867,2.2195500387897593,0.012116017058854404,632,"I got her to open up, but now she's beside herself."
4635,2,4575,4404,2658,11637,2.1647331786542923,0.007147316216719832,632,What makes you think the Russians were involved?
1972,3,4165,4245,2629,11039,2.1391430383186885,0.007348725123622838,632,They were all in it together.
127,4,3318,2902,2650,8870,2.0753100338218715,0.008673154331006601,632,We gotta get the short one to open up.
3733,5,3420,3796,2809,10025,2.0609476309226933,0.00784954299240929,632,"We’re pretty sure it was an inside inside inside inside inside job, detective."
3580,6,1585,2009,1448,5042,2.027171757239191,0.01091716207833872,632,I can’t shake the feeling that they all fit together somehow.
881,7,2926,4071,2901,9898,2.0025257627803597,0.007712490570372268,632,I only arrested the one on the left. But when we interrogated her she really opened up.
1251,8,2179,2527,2192,6898,1.998115395766889,0.009585118316997692,632,"Well, that would explain just the one set of footprints."
3940,9,542,971,562,2075,1.9903614457831325,0.016015230381347736,632,We got a tip from someone on the inside.
4557,10,2757,4142,3074,9973,1.9682141782813596,0.007650536934593233,632,I think the small one is hiding something but I can't get her to open up
1333,11,2074,2058,2306,6438,1.9639639639639639,0.010270815714147502,632,We're gonna have a hard time proving armed robbery.
3178,12,2027,2973,2561,7561,1.9293744213728343,0.008922135766970317,632,"Call it a hunch, but I think the little one is at the center of it all."
4514,13,1720,2266,2332,6318,1.9031339031339032,0.010002051049559108,632,We've already got Number 1 on 5 counts of harboring Russian fugitives.
1147,14,632,1210,899,2741,1.9025902955125866,0.014155891983053264,632,"As we suspected, they were all in on it."
1568,15,1886,2312,2545,6743,1.9022690197241583,0.009800551536460875,632,You were right about starting with the cavity search.
3743,16,628,960,932,2520,1.8793650793650793,0.015491098430901585,632,"Nesting, yes. Collusion, no."
971,17,589,1039,905,2533,1.875246742992499,0.015059794907116626,632,We couldn't get any more out of them.
801,18,1267,1810,2021,5098,1.8520988622989407,0.011056457580810026,632,It’s hard to imagine a more organized crime family.
3360,19,1800,2890,2939,7629,1.85070127146415,0.0088607196035535,632,"I suspect it's an inside, inside, inside, inside, inside job."
4049,20,730,1305,1360,3395,1.8144329896907216,0.013085729716767339,632,The big one's covering for them.
4152,21,1126,1252,2068,4446,1.7881241565452093,0.012309353238789105,632,Seriously? Loosen my tie and remove my head?
3098,22,859,1417,1752,4028,1.778301886792453,0.012196781329450858,632,There were more Russians at that meeting than we thought...
1018,23,675,1445,1551,3671,1.761372922909289,0.012235555939941415,632,"If you ask me, I think they were all in on it together."
