rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,1014,1274,1016,3304,1.9993946731234866,0.013638719051070693,569,"Three yea's, six ney's, and Anderson is still up in the air on this one."
2,787,921,870,2578,1.9678044996121025,0.015780185882408374,569,He's been suspended indefinitely.
3,743,1003,1043,2789,1.8924345643599856,0.015017953991698378,569,"I think you fail to recognize the gravity of our situation, Atkins."
4,515,851,941,2307,1.8153446033810143,0.016090392087646503,569,"Reynolds, this is no time for levity!"
5,560,882,1033,2475,1.808888888888889,0.015665161812198448,569,The memo said to 'expect incoming male' but we had assumed it was a typo
6,344,692,719,1755,1.7863247863247864,0.01786878738404807,569,He doesn't seem to realize the gravity of the situation here.
7,544,923,1093,2560,1.785546875,0.015228659430979643,569,This is no time for levity.
8,465,709,965,2139,1.7662459093034129,0.01694507338182021,569,"Davis, you idiot! It's not that kind of office pool!"
9,465,782,1011,2258,1.758193091231178,0.01623931076372972,569,At this time I'd like to turn it over to Mr. Thompson from our satellite office.
10,277,560,673,1510,1.737748344370861,0.019270374773595254,569,I asked Ted to drop in on this meeting.
11,174,369,511,1054,1.6802656546489563,0.022805904496588165,569,"Apparently, you don't understand the gravity of the situation."
12,281,468,770,1519,1.6780776826859776,0.019685749028625587,569,You are suspended until further notice
13,275,629,842,1746,1.675257731958763,0.017498103945840678,569,Not what I had in mind when I said feel free to jump in anytime ..
14,310,454,838,1602,1.6704119850187267,0.019487114932475968,569,"How high, Boss?"
15,229,404,670,1303,1.6615502686108978,0.02102222613476831,569,"If he sticks the dismount, I say we have our new chairman!"
16,174,202,536,912,1.6030701754385965,0.0261078462095794,569,You said to jump right in.
17,110,152,361,623,1.5971107544141252,0.03089499687455222,569,"And with this simple technique, we can now re-accommodate our passengers into overhead compartments."
18,80,216,335,631,1.5958795562599049,0.028012833774036665,569,If I could just jump in here for a second....
19,134,192,454,780,1.5897435897435896,0.02741624734247226,569,Who knew you could order an executive from Amazon.
20,149,148,462,759,1.5876152832674573,0.028942337200251564,569,"Jack be nimble, Jack be quick, Jack be an idiot."
21,106,189,394,689,1.5820029027576197,0.02829885751534651,569,"No, no... the speakerphone button is on the left. That's the eject button."
22,79,227,363,669,1.5754857997010463,0.026819291228281257,569,If I may jump in for a second...
23,38,94,164,296,1.5743243243243243,0.04122006470321526,569,"Yes, sir. How high, sir?"
24,78,184,336,598,1.568561872909699,0.02911793252689333,569,The motion to limit Briggs to 3 cappuccinos is seconded.
